ablation,ablation_value,algorithm,auroc,auprc,vus_roc,vus_pr,vus_roc_approx,vus_pr_approx,runtime_sec
normalization,raw,ik_density,0.6973448417673853,0.24148928851844387,0.7952788387113429,0.6357931142089484,0.7359091094467086,0.5466224136497976,0.41197579144500196
normalization,raw,isolation_forest,0.6930293177675187,0.3241043360787846,0.7747675964272261,0.6640108977031035,0.712640359831511,0.5711475507338059,0.189489280921407
normalization,raw,knn,0.7631197200841355,0.30764471683609446,0.8556908434771052,0.7036242339855717,0.8128517995231028,0.623646921494681,0.005873937276191975
normalization,raw,lof,0.8270297976803905,0.30775181543699576,0.8930060576537103,0.6949706609440791,0.8650903019363333,0.616803651029039,0.008306968491524425
normalization,raw,matrix_profile,0.672148552619751,0.18446913380424973,0.782426014689897,0.30308448075760464,0.6452814753260397,0.24698281016789045,0.021267228992655825
normalization,raw,rolling_zscore,0.6112948206048888,0.33931618026618815,0.7399911666679952,0.37336192918457073,0.4745742040387392,0.17405532025829668,0.0158595938701182
normalization,z_normalized,ik_density,0.679504114920094,0.21865038967728662,0.7822209765292503,0.6179703530078717,0.7184828354262724,0.5159802509508857,0.3920980006223544
normalization,z_normalized,isolation_forest,0.6930293177675187,0.3241043360787846,0.7747675964272261,0.6640108977031035,0.712640359831511,0.5711475507338059,0.18994730187114325
normalization,z_normalized,knn,0.7631197200841355,0.30764471683609446,0.8556908434771052,0.7036242339855717,0.8128517995231028,0.623646921494681,0.005419395398348525
normalization,z_normalized,lof,0.8270297976803905,0.30775181543699576,0.8930060576537103,0.6949706609440791,0.8650903019363333,0.616803651029039,0.00843043741770085
normalization,z_normalized,matrix_profile,0.672148552619751,0.18446913380424973,0.782426014689897,0.30308448075760464,0.6452814753260397,0.24698281016789045,0.01982016698457295
normalization,z_normalized,rolling_zscore,0.6112948206048888,0.33931618026618815,0.7399911666679952,0.37336192918457073,0.4745742040387392,0.17405532025829668,0.014949020696803875
window_size,default_2pct,ik_density,0.679504114920094,0.21865038967728662,0.7822209765292503,0.6179703530078717,0.7184828354262724,0.5159802509508857,0.39725699950940907
window_size,default_2pct,isolation_forest,0.6930293177675187,0.3241043360787846,0.7747675964272261,0.6640108977031035,0.712640359831511,0.5711475507338059,0.18002406239975244
window_size,default_2pct,knn,0.7631197200841355,0.30764471683609446,0.8556908434771052,0.7036242339855717,0.8128517995231028,0.623646921494681,0.005475177196785725
window_size,default_2pct,lof,0.8270297976803905,0.30775181543699576,0.8930060576537103,0.6949706609440791,0.8650903019363333,0.616803651029039,0.0081243227468803
window_size,default_2pct,matrix_profile,0.672148552619751,0.18446913380424973,0.782426014689897,0.30308448075760464,0.6452814753260397,0.24698281016789045,0.019675395917147325
window_size,default_2pct,rolling_zscore,0.6112948206048888,0.33931618026618815,0.7399911666679952,0.37336192918457073,0.4745742040387392,0.17405532025829668,0.013830031501129224
window_size,large_5pct,ik_density,0.7992678626870344,0.32068918447834094,0.8505432699612345,0.5873362837238135,0.817929136072161,0.5001638894111005,0.4188907293137163
window_size,large_5pct,isolation_forest,0.7269673910298369,0.37305011278765743,0.7973754489663706,0.615693430314122,0.7513214479491204,0.537990076191139,0.186042780871503
window_size,large_5pct,knn,0.8507794748263685,0.3570495476739928,0.9143910217207463,0.6374922953124612,0.8741842489085867,0.5251530667761029,0.0061508128419518
window_size,large_5pct,lof,0.8706958373384168,0.31325785781072785,0.9349071399746638,0.6226294847641352,0.8978810527159161,0.48739457105759537,0.008598000044003101
window_size,large_5pct,matrix_profile,0.9187940096173792,0.4618456355639168,0.960389938916044,0.7395639013201658,0.9378373815371819,0.640383530185982,0.01977204205468295
window_size,large_5pct,rolling_zscore,0.6260652121647272,0.34384230435225904,0.7590864875172757,0.3756821476578431,0.5203134564241859,0.19148916933271365,0.01500051084440195
window_size,small_1pct,ik_density,0.5666823056753425,0.1834607679444381,0.7459421437947756,0.5862778917195066,0.6141140806156504,0.4692286725591919,0.45983378123492
window_size,small_1pct,isolation_forest,0.6730229036961877,0.2899967482866027,0.777191998425203,0.5864181788320925,0.6722161941415634,0.4788481737722305,0.14571328111924228
window_size,small_1pct,knn,0.7024363369009737,0.2967332454239284,0.8276044615614215,0.7184360049055192,0.7214603303660434,0.6064569988780383,0.0131163750775158
window_size,small_1pct,lof,0.7209740227837229,0.26229329850530697,0.8503242456808626,0.6841646096425446,0.7352885347599121,0.5660481458409509,0.014382645837031251
window_size,small_1pct,matrix_profile,0.3693831982981793,0.13067578626327994,0.6559696791696972,0.22504412915739425,0.4304928150035058,0.16306917916625696,2.909366750274785
window_size,small_1pct,rolling_zscore,0.632745027133106,0.3460744009386865,0.7543706972882277,0.3603065125553525,0.49871970470657057,0.17720545651341574,0.015275239478796675
