series_id,name,source,path,length,anomaly_ratio,anomaly_segments,mean_anomaly_duration,max_anomaly_duration,seasonality_proxy,noise_proxy,algorithm,runtime_sec,window,normalize,vus_window,vus_thresholds,score_file,auroc,auprc,vus_roc,vus_pr,vus_roc_approx,vus_pr_approx,best_f1,contamination_f1
synthetic/synthetic_point_spikes,synthetic_point_spikes,synthetic,,1200,0.0033333333333333335,4,1.0,1,0.836596629338187,0.18621333115060704,rolling_zscore,0.054439958184957504,24,True,100,250,synthetic_point_spikes_scores.csv,1.0,1.0,0.9997260967211691,0.8689698286765292,0.39025890765476084,0.1746155280631855,1.0,1.0
synthetic/synthetic_point_spikes,synthetic_point_spikes,synthetic,,1200,0.0033333333333333335,4,1.0,1,0.836596629338187,0.18621333115060704,knn,0.15137579198926687,24,True,100,250,synthetic_point_spikes_scores.csv,0.9326923076923077,0.029875458451789315,0.978533661708897,0.7283721837650761,0.9644686976446071,0.5837570329023735,0.07142857142857142,0.0
synthetic/synthetic_point_spikes,synthetic_point_spikes,synthetic,,1200,0.0033333333333333335,4,1.0,1,0.836596629338187,0.18621333115060704,lof,0.06253383308649063,24,True,100,250,synthetic_point_spikes_scores.csv,0.9372909698996655,0.03137671076335673,0.9805597941386406,0.7419824412234656,0.9675558651313173,0.598450830900845,0.07142857142857142,0.0
synthetic/synthetic_point_spikes,synthetic_point_spikes,synthetic,,1200,0.0033333333333333335,4,1.0,1,0.836596629338187,0.18621333115060704,isolation_forest,0.6485335840843618,24,True,100,250,synthetic_point_spikes_scores.csv,0.9577759197324415,0.0397079772079772,0.9891117135273132,0.7745450843444068,0.9542524672384584,0.5920971150734285,0.07692307692307693,0.0
synthetic/synthetic_point_spikes,synthetic_point_spikes,synthetic,,1200,0.0033333333333333335,4,1.0,1,0.836596629338187,0.18621333115060704,ik_density,2.4732364169321954,24,True,100,250,synthetic_point_spikes_scores.csv,0.9406354515050167,0.03400337545438809,0.9821787976743638,0.763296179583325,0.9709304495633851,0.6421226613445816,0.07692307692307693,0.0
synthetic/synthetic_point_spikes,synthetic_point_spikes,synthetic,,1200,0.0033333333333333335,4,1.0,1,0.836596629338187,0.18621333115060704,matrix_profile,37.74809991708025,24,True,100,250,synthetic_point_spikes_scores.csv,0.8001672240802676,0.011959279112346413,0.8535042875158984,0.23033167997390097,0.6934600880717848,0.15164577851153407,0.02877697841726619,0.0
synthetic/synthetic_collective_shift,synthetic_collective_shift,synthetic,,1200,0.11666666666666667,2,70.0,70,0.9513434969582669,0.18425580859019425,rolling_zscore,0.029746375046670437,24,True,100,250,synthetic_collective_shift_scores.csv,0.5159299191374663,0.12240569856736606,0.6587667270296341,0.18248530007888117,0.5173151904506316,0.15837540460161395,0.21968911917098446,0.12857142857142856
synthetic/synthetic_collective_shift,synthetic_collective_shift,synthetic,,1200,0.11666666666666667,2,70.0,70,0.9513434969582669,0.18425580859019425,knn,0.025663791690021753,24,True,100,250,synthetic_collective_shift_scores.csv,0.9443497304582209,0.5415847189274136,0.9858818590553045,0.8740634100677735,0.9747801243877273,0.8005087052578258,0.7526881720430108,0.5285714285714286
synthetic/synthetic_collective_shift,synthetic_collective_shift,synthetic,,1200,0.11666666666666667,2,70.0,70,0.9513434969582669,0.18425580859019425,lof,0.0191751248203218,24,True,100,250,synthetic_collective_shift_scores.csv,0.882004716981132,0.3762625207980151,0.9710858885464365,0.8025490355800504,0.9304050184014686,0.6600712001447384,0.5978260869565217,0.35
synthetic/synthetic_collective_shift,synthetic_collective_shift,synthetic,,1200,0.11666666666666667,2,70.0,70,0.9513434969582669,0.18425580859019425,isolation_forest,0.6832864582538605,24,True,100,250,synthetic_collective_shift_scores.csv,0.976061320754717,0.7965904778427737,0.9958668266545675,0.9623246547442079,0.9923421249288393,0.9438500733897847,0.8211143695014663,0.7285714285714285
synthetic/synthetic_collective_shift,synthetic_collective_shift,synthetic,,1200,0.11666666666666667,2,70.0,70,0.9513434969582669,0.18425580859019425,ik_density,1.1063579581677914,24,True,100,250,synthetic_collective_shift_scores.csv,0.8973854447439353,0.4138997739685427,0.9777119017482099,0.8269573995184514,0.9418526954855887,0.702274658168646,0.6742857142857143,0.4357142857142857
synthetic/synthetic_collective_shift,synthetic_collective_shift,synthetic,,1200,0.11666666666666667,2,70.0,70,0.9513434969582669,0.18425580859019425,matrix_profile,0.04478299990296364,24,True,100,250,synthetic_collective_shift_scores.csv,0.6377122641509434,0.21940347321936154,0.7697189625992397,0.29380319676329897,0.6388678043231426,0.2520609543091591,0.34854771784232363,0.3357142857142857
synthetic/synthetic_contextual_phase,synthetic_contextual_phase,synthetic,,1200,0.15,2,90.0,90,0.9152624155429703,0.17543479536811224,rolling_zscore,0.038578125182539225,24,True,100,250,synthetic_contextual_phase_scores.csv,0.40346949891067535,0.11953988603570567,0.5805709848273859,0.21178827271731906,0.4508091231401824,0.1785961644339572,0.2611232676878192,0.07777777777777778
synthetic/synthetic_contextual_phase,synthetic_contextual_phase,synthetic,,1200,0.15,2,90.0,90,0.9152624155429703,0.17543479536811224,knn,0.012650832999497652,24,True,100,250,synthetic_contextual_phase_scores.csv,0.25799291938997826,0.17573986857541132,0.4745425306293387,0.34041742736079555,0.35290903596694123,0.32860223123670435,0.2801556420233463,0.2111111111111111
synthetic/synthetic_contextual_phase,synthetic_contextual_phase,synthetic,,1200,0.15,2,90.0,90,0.9152624155429703,0.17543479536811224,lof,0.022567166946828365,24,True,100,250,synthetic_contextual_phase_scores.csv,0.55890522875817,0.24462507000351744,0.6358014557693357,0.3488409714529266,0.5981896327425505,0.38779026132215966,0.3317972350230415,0.21666666666666667
synthetic/synthetic_contextual_phase,synthetic_contextual_phase,synthetic,,1200,0.15,2,90.0,90,0.9152624155429703,0.17543479536811224,isolation_forest,0.7266788752749562,24,True,100,250,synthetic_contextual_phase_scores.csv,0.022894880174291934,0.08377601849566105,0.1571148415552298,0.11633644583666575,0.044511456595432305,0.10794356170132927,0.2608695652173913,0.0
synthetic/synthetic_contextual_phase,synthetic_contextual_phase,synthetic,,1200,0.15,2,90.0,90,0.9152624155429703,0.17543479536811224,ik_density,1.4406187911517918,24,True,100,250,synthetic_contextual_phase_scores.csv,0.04510076252723312,0.08441952802566739,0.2124585104822374,0.12218942519138438,0.08518577055225977,0.11052061212115419,0.2608695652173913,0.0
synthetic/synthetic_contextual_phase,synthetic_contextual_phase,synthetic,,1200,0.15,2,90.0,90,0.9152624155429703,0.17543479536811224,matrix_profile,0.04022612515836954,24,True,100,250,synthetic_contextual_phase_scores.csv,0.7440550108932462,0.374216912991444,0.8427441973044985,0.4663947788471384,0.7316105120464779,0.39983489339897005,0.5239616613418531,0.48333333333333334
synthetic/synthetic_noisy_subsequence,synthetic_noisy_subsequence,synthetic,,1200,0.1125,3,45.0,45,0.7360750552127181,0.37259140886945163,rolling_zscore,0.03293599979951978,24,True,100,250,synthetic_noisy_subsequence_scores.csv,0.5257798643714137,0.11531913646168099,0.7209008580937917,0.23020431526555363,0.539913594909382,0.18463418393443012,0.22360248447204967,0.0962962962962963
synthetic/synthetic_noisy_subsequence,synthetic_noisy_subsequence,synthetic,,1200,0.1125,3,45.0,45,0.7360750552127181,0.37259140886945163,knn,0.022652875166386366,24,True,100,250,synthetic_noisy_subsequence_scores.csv,0.9174439227960355,0.48337882138976374,0.9838053225148808,0.8716439147486417,0.9592493400931359,0.7817197165818206,0.6470588235294118,0.4666666666666667
synthetic/synthetic_noisy_subsequence,synthetic_noisy_subsequence,synthetic,,1200,0.1125,3,45.0,45,0.7360750552127181,0.37259140886945163,lof,0.020147250033915043,24,True,100,250,synthetic_noisy_subsequence_scores.csv,0.9299182750825943,0.5787429601830939,0.9845770921604287,0.8865101955198736,0.9642106914699967,0.8209023117484129,0.6239554317548747,0.5481481481481482
synthetic/synthetic_noisy_subsequence,synthetic_noisy_subsequence,synthetic,,1200,0.1125,3,45.0,45,0.7360750552127181,0.37259140886945163,isolation_forest,0.4890256659127772,24,True,100,250,synthetic_noisy_subsequence_scores.csv,0.8153851504086245,0.37634287076872636,0.956977003971794,0.8028374058871336,0.8594553905633138,0.6406994527706809,0.5229681978798586,0.45185185185185184
synthetic/synthetic_noisy_subsequence,synthetic_noisy_subsequence,synthetic,,1200,0.1125,3,45.0,45,0.7360750552127181,0.37259140886945163,ik_density,1.2055033752694726,24,True,100,250,synthetic_noisy_subsequence_scores.csv,0.8348948009041905,0.34227888126054845,0.95653469621219,0.7594384077383265,0.875962426103856,0.6090030721691615,0.5412371134020619,0.35555555555555557
synthetic/synthetic_noisy_subsequence,synthetic_noisy_subsequence,synthetic,,1200,0.1125,3,45.0,45,0.7360750552127181,0.37259140886945163,matrix_profile,0.042928583920001984,24,True,100,250,synthetic_noisy_subsequence_scores.csv,0.506659711354547,0.13229686989384704,0.6637366113399517,0.2218082674460802,0.5171874968627538,0.18438961445189878,0.2454458293384468,0.17037037037037037
